event_date,event_timestamp,event_timestamp_jst,event_name,user_pseudo_id,ga_session_id,ga_session_number,session_id,page_location,page_referrer,page_path,prev_page_path,page_num_dom,original_page_num,stay_ms,total_duration_ms,load_time_ms,max_page_reached,completion_rate,total_pages,click_x_rel,click_y_rel,elem_tag,elem_id,elem_classes,scroll_pct,utm_source,utm_medium,utm_campaign,utm_content,device_type,direction,navigation_method,link_url,video_src,session_variant,presence_test_variant,creative_test_variant,ab_variant,ab_test_target,ab_test_type,cv_type,cv_value,value
2025-09-23,2025-09-23 20:36:36.656130,2025-09-23 20:36:36.656130,video_play,user_000178,3386832,3,user_000178-3386832,https://example.com/lp/product-b,https://www.google.com/,/lp/product-b,/lp/product-b#page-4,5,5,11662,244056,1885,6,0.6,10,,,,,,0.5237920255513416,direct,social,summer_campaign,ad_4,desktop,forward,swipe,,https://example.com/video1.mp4,B,,,B,headline,,,,
2025-09-23,2025-09-23 20:44:27.656130,2025-09-23 20:44:27.656130,session_start,user_000479,8510735,10,user_000479-8510735,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,/lp/product-a#page-1,2,2,83186,200824,2313,10,1.0,10,,,,,,0.9544938231672168,direct,cpc,brand_awareness,ad_3,mobile,forward,click,,,B,A,,B,headline,creative,,,
2025-09-23,2025-09-23 20:45:28.656130,2025-09-23 20:45:28.656130,page_view,user_000310,9805572,5,user_000310-9805572,https://example.com/lp/product-a,https://www.google.com/,/lp/product-a,/lp/product-a#page-8,9,9,97656,286466,1610,9,0.9,10,,,,,,0.6436958243615782,direct,referral,,,mobile,forward,scroll,https://example.com/lp/product-a,,A,B,,A,headline,presence,,,
2025-09-23,2025-09-23 20:55:28.656130,2025-09-23 20:55:28.656130,session_start,user_000197,3943136,4,user_000197-3943136,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,/lp/service-x#page-1,2,2,116871,285667,4126,9,0.9,10,,,,,,0.8277351315582694,facebook,organic,summer_campaign,ad_2,mobile,backward,scroll,,,B,control,control,B,,layout,,,
2025-09-23,2025-09-23 21:01:14.656130,2025-09-23 21:01:14.656130,click,user_000202,7864860,8,user_000202-7864860,https://example.com/lp/product-a,,/lp/product-a,/lp/product-a#page-7,8,8,89064,203344,3546,8,0.8,10,0.5434752081180998,0.6130546433822264,div,video-play,btn-primary,0.3353077631705782,direct,none,spring_sale,,mobile,forward,scroll,https://example.com/thank-you,https://example.com/video1.mp4,control,B,,control,,layout,,,
2025-09-23,2025-09-23 21:05:53.656130,2025-09-23 21:05:53.656130,scroll,user_000610,1357967,4,user_000610-1357967,https://example.com/lp/product-b,https://www.facebook.com/,/lp/product-b,/lp/product-b#page-7,8,8,107273,230184,4197,9,0.9,10,,,,,,0.7196856788231325,instagram,referral,,ad_3,mobile,backward,scroll,,https://example.com/video1.mp4,B,control,B,B,headline,layout,,,
2025-09-23,2025-09-23 21:11:07.656130,2025-09-23 21:11:07.656130,video_play,user_000218,5572841,9,user_000218-5572841,https://example.com/lp/product-a,https://www.google.com/,/lp/product-a,/lp/product-a#page-4,5,5,68130,230353,2756,7,0.7,10,,,,,,0.9781294065308637,twitter,cpc,,,mobile,backward,click,,,A,A,control,A,cta_button,presence,,,
2025-09-23,2025-09-23 21:13:01.656130,2025-09-23 21:13:01.656130,swipe_page,user_000300,2512509,2,user_000300-2512509,https://example.com/lp/product-b,https://www.facebook.com/,/lp/product-b,/lp/product-b#page-8,9,9,95523,274615,3543,9,0.9,10,,,,,,0.9778981035472277,twitter,referral,brand_awareness,ad_2,desktop,backward,swipe,https://example.com/thank-you,,A,control,,A,headline,creative,,,
2025-09-23,2025-09-23 21:15:43.656130,2025-09-23 21:15:43.656130,video_play,user_000024,8947073,4,user_000024-8947073,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,/lp/service-x#page-6,7,7,49001,166452,1743,10,1.0,10,,,,,,0.9499653561868256,twitter,none,,ad_4,mobile,backward,button,https://example.com/lp/service-x,,control,,,control,headline,layout,,,
2025-09-23,2025-09-23 21:18:28.656130,2025-09-23 21:18:28.656130,page_view,user_000200,4846189,9,user_000200-4846189,https://example.com/lp/product-b,https://www.facebook.com/,/lp/product-b,/lp/product-b#page-6,7,7,31681,207867,561,7,0.7,10,,,,,,0.9052648503023721,instagram,organic,brand_awareness,ad_5,mobile,forward,click,https://example.com/lp/product-b,,control,A,,control,headline,presence,,,
2025-09-23,2025-09-23 21:20:09.656130,2025-09-23 21:20:09.656130,click,user_000452,1641179,8,user_000452-1641179,https://example.com/lp/product-a,https://www.google.com/,/lp/product-a,/lp/product-a#page-5,6,6,57122,116814,2467,10,1.0,10,0.6966440970551909,0.38840173233844577,img,nav-link,btn-primary,0.6248276325797528,twitter,organic,summer_campaign,ad_2,mobile,forward,click,https://example.com/lp/product-a,https://example.com/video1.mp4,B,control,,B,,presence,,,
2025-09-23,2025-09-23 21:29:37.656130,2025-09-23 21:29:37.656130,session_start,user_000626,2227975,5,user_000626-2227975,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,,1,1,25739,140157,3768,4,0.4,10,,,,,,0.681093410527283,direct,none,spring_sale,ad_5,mobile,backward,click,https://example.com/lp/service-x,https://example.com/video1.mp4,control,B,control,control,,creative,,,
2025-09-23,2025-09-23 21:38:16.656130,2025-09-23 21:38:16.656130,page_view,user_000022,7257796,4,user_000022-7257796,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,/lp/service-x#page-7,8,8,25319,222294,4201,8,0.8,10,,,,,,0.29300177357330326,instagram,none,,,desktop,backward,button,https://example.com/lp/service-x,,control,B,control,control,,presence,,,
2025-09-23,2025-09-23 21:41:51.656130,2025-09-23 21:41:51.656130,conversion,user_000425,4693417,7,user_000425-4693417,https://example.com/lp/product-b,https://www.google.com/,/lp/product-b,/lp/product-b#page-1,2,2,48957,213649,2102,9,0.9,10,,,,,,0.36556429432043624,facebook,organic,,ad_5,mobile,backward,scroll,,,B,A,,B,hero_image,presence,,,
2025-09-23,2025-09-23 21:46:07.656130,2025-09-23 21:46:07.656130,swipe_page,user_000648,4050187,10,user_000648-4050187,https://example.com/lp/product-a,,/lp/product-a,/lp/product-a#page-4,5,5,58434,233160,2794,7,0.7,10,,,,,,0.4275147618048589,instagram,referral,summer_campaign,ad_4,mobile,forward,swipe,https://example.com/lp/product-a,,control,,control,control,headline,creative,,,
2025-09-23,2025-09-23 22:04:04.656130,2025-09-23 22:04:04.656130,click,user_000443,2943558,7,user_000443-2943558,https://example.com/lp/product-b,https://www.google.com/,/lp/product-b,/lp/product-b#page-3,4,4,29615,173963,3916,6,0.6,10,0.8069782654157337,0.10523543568507084,button,,card,0.9828268063907448,google,organic,,ad_1,mobile,backward,scroll,https://example.com/lp/product-b,,control,B,control,control,cta_button,creative,,,
2025-09-23,2025-09-23 22:10:21.656130,2025-09-23 22:10:21.656130,swipe_page,user_000257,2033423,9,user_000257-2033423,https://example.com/lp/product-b,https://www.google.com/,/lp/product-b,/lp/product-b#page-6,7,7,28831,124486,2096,7,0.7,10,,,,,,0.4794298667668989,facebook,referral,brand_awareness,,mobile,backward,swipe,https://example.com/lp/product-b,https://example.com/video1.mp4,B,B,,B,cta_button,,,,
2025-09-23,2025-09-23 22:11:17.656130,2025-09-23 22:11:17.656130,swipe_page,user_000583,2385766,7,user_000583-2385766,https://example.com/lp/product-a,https://www.instagram.com/,/lp/product-a,/lp/product-a#page-7,8,8,102855,119347,1516,8,0.8,10,,,,,,0.5639218683444476,instagram,cpc,,,desktop,forward,click,https://example.com/lp/product-a,,B,control,B,B,cta_button,creative,,,
2025-09-23,2025-09-23 22:22:33.656130,2025-09-23 22:22:33.656130,session_start,user_000477,4856385,8,user_000477-4856385,https://example.com/lp/product-b,https://twitter.com/,/lp/product-b,/lp/product-b#page-6,7,7,69135,281514,1697,10,1.0,10,,,,,,0.7095629661951095,google,referral,spring_sale,ad_1,tablet,backward,scroll,https://example.com/lp/product-b,,control,,A,control,,,,,
2025-09-23,2025-09-23 22:29:29.656130,2025-09-23 22:29:29.656130,swipe_page,user_000071,9359895,10,user_000071-9359895,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,,1,1,2991,23079,4321,6,0.6,10,,,,,,0.39177073249282923,twitter,organic,,ad_3,mobile,forward,swipe,https://example.com/thank-you,,B,,A,B,headline,creative,,,
2025-09-23,2025-09-23 22:32:45.656130,2025-09-23 22:32:45.656130,scroll,user_000515,2742529,3,user_000515-2742529,https://example.com/lp/product-b,https://www.facebook.com/,/lp/product-b,/lp/product-b#page-4,5,5,41602,242924,1834,7,0.7,10,,,,,,0.23229901170567646,facebook,cpc,summer_campaign,ad_2,mobile,forward,click,https://example.com/lp/product-b,,B,control,,B,,layout,,,
2025-09-23,2025-09-23 22:34:11.656130,2025-09-23 22:34:11.656130,swipe_page,user_000206,6937332,5,user_000206-6937332,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,/lp/service-x#page-1,2,2,16745,249016,765,6,0.6,10,,,,,,0.19565205957711207,google,cpc,summer_campaign,ad_1,mobile,backward,button,,https://example.com/video1.mp4,control,,B,control,cta_button,presence,,,
2025-09-23,2025-09-23 22:35:16.656130,2025-09-23 22:35:16.656130,page_view,user_000357,7650214,2,user_000357-7650214,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,,1,1,3403,168098,584,6,0.6,10,,,,,,0.9940936353433714,google,cpc,spring_sale,ad_2,desktop,forward,scroll,https://example.com/thank-you,https://example.com/video1.mp4,B,control,A,B,hero_image,presence,,,
2025-09-23,2025-09-23 22:35:47.656130,2025-09-23 22:35:47.656130,conversion,user_000337,2721726,7,user_000337-2721726,https://example.com/lp/service-x,https://www.google.com/,/lp/service-x,/lp/service-x#page-1,2,2,62736,297089,3223,2,0.2,10,,,,,,0.6909287542525554,google,organic,spring_sale,ad_2,mobile,backward,scroll,https://example.com/thank-you,,A,B,,A,headline,,,,
2025-09-23,2025-09-23 22:37:34.656130,2025-09-23 22:37:34.656130,page_view,user_000096,9870842,8,user_000096-9870842,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,/lp/product-a#page-2,3,3,118600,149408,4933,9,0.9,10,,,,,,0.24039334534104176,twitter,social,brand_awareness,ad_1,mobile,forward,click,https://example.com/lp/product-a,https://example.com/video1.mp4,A,,,A,,creative,,,
2025-09-23,2025-09-23 22:41:28.656130,2025-09-23 22:41:28.656130,page_view,user_000329,8833294,2,user_000329-8833294,https://example.com/lp/product-b,https://www.instagram.com/,/lp/product-b,/lp/product-b#page-2,3,3,38278,232298,4771,5,0.5,10,,,,,,0.7603917502653427,direct,referral,summer_campaign,,mobile,backward,swipe,,,A,A,,A,,presence,,,
2025-09-23,2025-09-23 22:44:28.656130,2025-09-23 22:44:28.656130,conversion,user_000643,3460701,6,user_000643-3460701,https://example.com/lp/product-a,,/lp/product-a,/lp/product-a#page-7,8,8,105085,171073,3883,9,0.9,10,,,,,,0.605007758899435,direct,cpc,spring_sale,ad_5,desktop,backward,click,https://example.com/lp/product-a,https://example.com/video1.mp4,control,,B,control,headline,,,,
2025-09-23,2025-09-23 22:44:57.656130,2025-09-23 22:44:57.656130,video_play,user_000039,2010521,8,user_000039-2010521,https://example.com/lp/service-x,https://twitter.com/,/lp/service-x,/lp/service-x#page-8,9,9,10463,104407,1565,10,1.0,10,,,,,,0.4370215472631763,google,cpc,brand_awareness,,mobile,backward,button,https://example.com/lp/service-x,,A,B,control,A,headline,,,,
2025-09-23,2025-09-23 22:45:56.656130,2025-09-23 22:45:56.656130,conversion,user_000343,2830368,8,user_000343-2830368,https://example.com/lp/product-a,,/lp/product-a,/lp/product-a#page-8,9,9,105146,265838,1179,10,1.0,10,,,,,,0.462379469192282,twitter,social,brand_awareness,ad_2,mobile,forward,swipe,https://example.com/thank-you,https://example.com/video1.mp4,control,,A,control,,layout,,,
2025-09-23,2025-09-23 22:46:37.656130,2025-09-23 22:46:37.656130,swipe_page,user_000594,8635142,5,user_000594-8635142,https://example.com/lp/product-a,https://www.instagram.com/,/lp/product-a,/lp/product-a#page-1,2,2,76916,275144,1659,10,1.0,10,,,,,,0.2745928586593024,direct,none,summer_campaign,ad_2,mobile,forward,button,https://example.com/thank-you,https://example.com/video1.mp4,B,control,B,B,,layout,,,
2025-09-23,2025-09-23 22:48:14.656130,2025-09-23 22:48:14.656130,session_start,user_000509,4439817,2,user_000509-4439817,https://example.com/lp/product-a,https://www.google.com/,/lp/product-a,/lp/product-a#page-3,4,4,37622,199448,1639,9,0.9,10,,,,,,0.8310076411756152,twitter,referral,,ad_5,desktop,backward,scroll,https://example.com/thank-you,https://example.com/video1.mp4,control,B,B,control,hero_image,creative,,,
2025-09-23,2025-09-23 22:50:43.656130,2025-09-23 22:50:43.656130,click,user_000001,9663271,3,user_000001-9663271,https://example.com/lp/product-a,https://www.google.com/,/lp/product-a,/lp/product-a#page-7,8,8,69398,185183,2866,9,0.9,10,0.37847657077498154,0.43948871482838725,div,video-play,,0.496593013899434,facebook,none,summer_campaign,ad_3,mobile,backward,button,,https://example.com/video1.mp4,A,control,,A,headline,creative,,,
2025-09-23,2025-09-23 23:05:45.656130,2025-09-23 23:05:45.656130,video_play,user_000109,1467876,6,user_000109-1467876,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,/lp/product-a#page-9,10,10,71015,228880,1715,10,1.0,10,,,,,,0.6264478666645754,twitter,organic,summer_campaign,,mobile,forward,swipe,https://example.com/thank-you,,B,B,,B,headline,presence,,,
2025-09-23,2025-09-23 23:09:50.656130,2025-09-23 23:09:50.656130,video_play,user_000334,7581753,10,user_000334-7581753,https://example.com/lp/product-a,https://twitter.com/,/lp/product-a,,1,1,78855,281020,1692,7,0.7,10,,,,,,0.1718195243839976,facebook,organic,spring_sale,,mobile,backward,swipe,https://example.com/thank-you,https://example.com/video1.mp4,control,B,,control,cta_button,,,,
2025-09-23,2025-09-23 23:12:33.656130,2025-09-23 23:12:33.656130,session_start,user_000492,6982767,2,user_000492-6982767,https://example.com/lp/product-b,https://www.facebook.com/,/lp/product-b,/lp/product-b#page-5,6,6,62992,118672,2997,7,0.7,10,,,,,,0.22606843259526938,direct,referral,spring_sale,,desktop,backward,scroll,https://example.com/thank-you,,B,,control,B,,,,,
2025-09-23,2025-09-23 23:19:19.656130,2025-09-23 23:19:19.656130,session_start,user_000405,5510441,6,user_000405-5510441,https://example.com/lp/product-a,https://www.instagram.com/,/lp/product-a,/lp/product-a#page-1,2,2,84626,274658,2108,8,0.8,10,,,,,,0.28385914697315795,instagram,none,brand_awareness,ad_2,desktop,backward,click,https://example.com/thank-you,https://example.com/video1.mp4,control,B,control,control,hero_image,presence,,,
2025-09-23,2025-09-23 23:28:54.656130,2025-09-23 23:28:54.656130,click,user_000660,6339977,9,user_000660-6339977,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,/lp/service-x#page-4,5,5,52883,74998,557,5,0.5,10,0.761798791395507,0.4593080554927498,div,video-play,link,0.6924119644417366,google,none,brand_awareness,ad_3,desktop,backward,button,,,A,B,A,A,headline,creative,,,
2025-09-23,2025-09-23 23:30:51.656130,2025-09-23 23:30:51.656130,conversion,user_000071,4471511,6,user_000071-4471511,https://example.com/lp/service-x,https://www.google.com/,/lp/service-x,/lp/service-x#page-7,8,8,6161,109413,2889,8,0.8,10,,,,,,0.5048805331926134,google,none,,ad_1,mobile,forward,scroll,https://example.com/thank-you,https://example.com/video1.mp4,A,A,A,A,cta_button,,,,
2025-09-23,2025-09-23 23:32:09.656130,2025-09-23 23:32:09.656130,conversion,user_000539,4275790,5,user_000539-4275790,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,,1,1,26729,144029,4204,9,0.9,10,,,,,,0.5129068912016044,google,cpc,spring_sale,ad_5,mobile,backward,scroll,https://example.com/thank-you,https://example.com/video1.mp4,A,,B,A,hero_image,,primary,35630.589077196295,35630.589077196295
2025-09-23,2025-09-23 23:32:12.656130,2025-09-23 23:32:12.656130,video_play,user_000381,6852916,4,user_000381-6852916,https://example.com/lp/product-b,https://www.google.com/,/lp/product-b,/lp/product-b#page-9,10,10,59588,88586,3879,10,1.0,10,,,,,,0.6868101297102025,direct,referral,brand_awareness,ad_5,desktop,backward,button,https://example.com/lp/product-b,,B,A,A,B,hero_image,creative,,,
2025-09-23,2025-09-23 23:39:43.656130,2025-09-23 23:39:43.656130,page_view,user_000351,6638872,1,user_000351-6638872,https://example.com/lp/service-x,,/lp/service-x,/lp/service-x#page-9,10,10,30416,240398,2545,10,1.0,10,,,,,,0.7080836828285707,instagram,cpc,,ad_5,mobile,forward,swipe,https://example.com/thank-you,https://example.com/video1.mp4,B,control,B,B,cta_button,,,,
2025-09-23,2025-09-23 23:47:35.656130,2025-09-23 23:47:35.656130,video_play,user_000456,8387245,5,user_000456-8387245,https://example.com/lp/product-a,,/lp/product-a,/lp/product-a#page-8,9,9,26133,65823,752,9,0.9,10,,,,,,0.1614519812572107,instagram,cpc,,ad_4,mobile,forward,button,,https://example.com/video1.mp4,A,control,,A,cta_button,presence,,,
2025-09-23,2025-09-23 23:53:40.656130,2025-09-23 23:53:40.656130,swipe_page,user_000063,5815709,5,user_000063-5815709,https://example.com/lp/service-x,https://twitter.com/,/lp/service-x,/lp/service-x#page-4,5,5,100119,134599,3394,5,0.5,10,,,,,,0.41254493900526346,google,organic,brand_awareness,ad_2,desktop,forward,button,,https://example.com/video1.mp4,control,control,,control,hero_image,layout,,,
2025-09-23,2025-09-23 23:54:02.656130,2025-09-23 23:54:02.656130,page_view,user_000558,6349682,7,user_000558-6349682,https://example.com/lp/product-a,https://www.facebook.com/,/lp/product-a,,1,1,106505,155142,3989,4,0.4,10,,,,,,0.6469952578756548,google,referral,summer_campaign,ad_1,mobile,forward,click,https://example.com/thank-you,https://example.com/video1.mp4,B,A,,B,headline,presence,,,
2025-09-24,2025-09-24 00:05:13.656130,2025-09-24 00:05:13.656130,scroll,user_000156,1809693,8,user_000156-1809693,https://example.com/lp/service-x,https://www.google.com/,/lp/service-x,/lp/service-x#page-6,7,7,48539,261838,2419,10,1.0,10,,,,,,0.19207056311392345,facebook,organic,brand_awareness,,mobile,backward,scroll,https://example.com/thank-you,https://example.com/video1.mp4,B,A,B,B,,presence,,,
2025-09-24,2025-09-24 00:05:47.656130,2025-09-24 00:05:47.656130,swipe_page,user_000635,3388425,2,user_000635-3388425,https://example.com/lp/product-b,https://www.google.com/,/lp/product-b,/lp/product-b#page-5,6,6,45491,90675,1420,10,1.0,10,,,,,,0.8552701139457969,direct,social,,ad_4,mobile,forward,swipe,,,control,A,control,control,cta_button,layout,,,
2025-09-24,2025-09-24 00:14:08.656130,2025-09-24 00:14:08.656130,page_view,user_000137,2148596,7,user_000137-2148596,https://example.com/lp/service-x,https://www.google.com/,/lp/service-x,/lp/service-x#page-3,4,4,77343,153183,4311,4,0.4,10,,,,,,0.7567393313135594,direct,social,brand_awareness,ad_5,mobile,backward,scroll,https://example.com/lp/service-x,,A,control,B,A,headline,layout,,,
2025-09-24,2025-09-24 00:15:07.656130,2025-09-24 00:15:07.656130,conversion,user_000161,5943040,6,user_000161-5943040,https://example.com/lp/product-a,https://www.facebook.com/,/lp/product-a,/lp/product-a#page-1,2,2,87614,118991,2461,8,0.8,10,,,,,,0.34865156909710393,google,organic,,ad_2,mobile,forward,swipe,https://example.com/lp/product-a,,A,A,B,A,headline,creative,,,
2025-09-24,2025-09-24 00:15:37.656130,2025-09-24 00:15:37.656130,conversion,user_000376,3093893,8,user_000376-3093893,https://example.com/lp/service-x,https://www.google.com/,/lp/service-x,/lp/service-x#page-9,10,10,31327,154144,3966,10,1.0,10,,,,,,0.4374259137206822,instagram,organic,,ad_5,desktop,forward,button,,,B,,B,B,,layout,,,
2025-09-24,2025-09-24 00:19:36.656130,2025-09-24 00:19:36.656130,swipe_page,user_000556,8047743,1,user_000556-8047743,https://example.com/lp/service-x,https://twitter.com/,/lp/service-x,/lp/service-x#page-1,2,2,25934,123484,2052,10,1.0,10,,,,,,0.8934929306592119,instagram,organic,,ad_1,mobile,backward,scroll,,,B,A,,B,,layout,,,
2025-09-24,2025-09-24 00:20:04.656130,2025-09-24 00:20:04.656130,swipe_page,user_000658,7614775,9,user_000658-7614775,https://example.com/lp/product-b,https://twitter.com/,/lp/product-b,/lp/product-b#page-1,2,2,102436,138596,3164,4,0.4,10,,,,,,0.7864027443307643,google,referral,summer_campaign,ad_1,desktop,backward,button,,,A,,,A,,,,,
2025-09-24,2025-09-24 00:33:10.656130,2025-09-24 00:33:10.656130,page_view,user_000495,8910166,9,user_000495-8910166,https://example.com/lp/service-x,https://www.google.com/,/lp/service-x,/lp/service-x#page-6,7,7,68226,263273,3733,9,0.9,10,,,,,,0.21757725413558066,google,organic,spring_sale,ad_1,desktop,backward,swipe,https://example.com/lp/service-x,https://example.com/video1.mp4,A,B,control,A,cta_button,presence,,,
2025-09-24,2025-09-24 00:34:26.656130,2025-09-24 00:34:26.656130,page_view,user_000087,5054362,9,user_000087-5054362,https://example.com/lp/product-a,https://www.instagram.com/,/lp/product-a,/lp/product-a#page-9,10,10,13084,257591,2025,10,1.0,10,,,,,,0.5213977995955154,facebook,organic,,ad_5,mobile,forward,click,https://example.com/thank-you,https://example.com/video1.mp4,A,A,,A,cta_button,layout,,,
2025-09-24,2025-09-24 00:37:22.656130,2025-09-24 00:37:22.656130,swipe_page,user_000364,6478586,6,user_000364-6478586,https://example.com/lp/service-x,,/lp/service-x,/lp/service-x#page-7,8,8,108879,118095,3625,10,1.0,10,,,,,,0.6290522117860067,twitter,cpc,brand_awareness,ad_3,mobile,backward,swipe,https://example.com/lp/service-x,,A,A,,A,headline,,,,
2025-09-24,2025-09-24 00:37:42.656130,2025-09-24 00:37:42.656130,swipe_page,user_000028,9875661,3,user_000028-9875661,https://example.com/lp/service-x,https://www.instagram.com/,/lp/service-x,/lp/service-x#page-5,6,6,74912,105025,4598,10,1.0,10,,,,,,0.4436815546050388,direct,referral,brand_awareness,ad_5,mobile,backward,click,https://example.com/thank-you,,A,B,control,A,cta_button,layout,,,
2025-09-24,2025-09-24 00:39:04.656130,2025-09-24 00:39:04.656130,page_view,user_000211,2704937,8,user_000211-2704937,https://example.com/lp/product-a,https://www.instagram.com/,/lp/product-a,,1,1,17229,169691,2158,5,0.5,10,,,,,,0.3220626785110565,instagram,cpc,brand_awareness,ad_1,mobile,backward,swipe,https://example.com/lp/product-a,,B,A,B,B,cta_button,,,,
2025-09-24,2025-09-24 00:40:55.656130,2025-09-24 00:40:55.656130,click,user_000512,9881590,3,user_000512-9881590,https://example.com/lp/service-x,https://www.google.com/,/lp/service-x,/lp/service-x#page-3,4,4,86952,223704,3547,6,0.6,10,0.8137682323306835,0.38660997743080017,div,video-play,link,0.47726777151644617,facebook,referral,summer_campaign,ad_1,mobile,forward,click,,https://example.com/video1.mp4,B,A,B,B,cta_button,,,,
2025-09-24,2025-09-24 00:49:55.656130,2025-09-24 00:49:55.656130,video_play,user_000306,2833287,4,user_000306-2833287,https://example.com/lp/product-b,https://www.instagram.com/,/lp/product-b,/lp/product-b#page-7,8,8,27180,234502,3506,9,0.9,10,,,,,,0.8652598510842033,google,cpc,,,mobile,forward,swipe,https://example.com/lp/product-b,,B,,control,B,headline,creative,,,
